,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
Irrational Man,6.862812,11000000,6.3,46,0.598409468,0
Eragon,9.851133,100000000,4.9,16,0.598857715,0
The Prince of Tides,2.960942,30000000,5.9,68,0.598863977,0
The General's Daughter,14.039655,60000000,6.1,21,0.599214064,0
Love the Coopers,5.660649,17000000,5.4,18,0.599310928,0
Almost Christmas,7.288877,17000000,5.4,49,0.59988067,0
Sweet Charity,0.537378,8000000,6.5,86,0.6,0
Kick,7.366331,22000000,6,46,0.6,0
A Walk in the Clouds,9.715639,20000000,6.5,46,0.600100031,0
Nacho Libre,12.042646,32000000,5.6,40,0.600987521,0
Hellraiser III: Hell on Earth,6.546551,5000000,5.3,40,0.601115632,0
Houseguest,2.688562,10500000,6,14,0.60114348,0
Unbroken,10.543955,65000000,7.3,52,0.602307685,0
Dr. Dolittle 2,7.906683,70000000,4.9,42,0.602508386,0
Above the Law,5.283245,7500000,5.9,50,0.602535948,0
This Is 40,11.418802,35000000,5.6,51,0.602538241,0
30 Days of Night,8.764548,30000000,6.2,51,0.60268044,0
Don't Tell Mom the Babysitter's Dead,5.402262,10000000,5.8,35,0.603115527,0
Yogi Bear,6.598296,80000000,5.2,13,0.603143384,0
Vamp,4.119963,1900000,5.9,40,0.603416959,0
9th Company,9.586723,9500000,6.8,69,0.604166667,0
Ever After: A Cinderella Story,13.309701,26000000,6.8,91,0.60429656,0
Killing Them Softly,6.777326,15000000,5.8,74,0.604539517,0
The Roommate,8.453293,16000000,5.3,3,0.604867626,0
Coyote Ugly,15.650836,45000000,5.8,23,0.604973728,0
Yentl,2.592296,12000000,6.2,65,0.605263158,0
Special 26,2.78114,7100000,6.9,90,0.605555556,0
New Year's Eve,6.948818,56000000,5.7,7,0.605757734,0
Beastly,7.364563,17000000,5.9,21,0.60616761,0
The Hitcher,7.160967,10000000,5.6,62,0.60629836,0
Double Jeopardy,10.876463,70000000,6.2,28,0.606391213,0
The Princess and the Frog,16.616517,105000000,6.7,85,0.606808968,0
Office Christmas Party,8.228918,45000000,5.4,40,0.606991358,0
King of New York,11.230031,1000000,6.5,70,0.608530282,0
Can't Hardly Wait,6.426937,10000000,6.1,40,0.609451508,0
Taps,5.355452,14000000,6.5,68,0.609549885,0
Broadcast News,8.627019,20000000,6.8,98,0.609751559,0
Horrible Bosses 2,20.903362,42000000,6.1,35,0.609920491,0
Evita,6.709803,55000000,5.9,64,0.610059553,0
The Fog,9.929809,18000000,3.8,4,0.610401686,0
Failure to Launch,9.438013,50000000,5.5,23,0.610612786,0
The Last Dragon,6.830599,10000000,6.4,59,0.611715084,0
The Whole Nine Yards,12.061521,41300000,6.3,43,0.611738658,0
Kiss of the Dragon,7.637345,25000000,6.4,52,0.612029247,0
Baywatch,35.637691,69000000,6.1,17,0.612047338,0
It's Complicated,9.083133,85000000,6.2,59,0.612055764,0
Dolphin Tale,6.695229,37000000,6.6,82,0.612177204,0
Biloxi Blues,4.619593,20000000,6.4,75,0.613039022,0
The Number 23,8.140941,30000000,6.3,7,0.613236666,0
World Trade Center,13.332102,63000000,5.9,66,0.613368595,0
Riddick,9.596377,38000000,6.2,57,0.61357489,0
Shortbus,11.547748,2000000,6.3,68,0.613827822,0
The Thomas Crown Affair,10.961226,48000000,6.7,69,0.613853585,0
Night of the Demons,6.942907,1200000,6.1,36,0.614135999,0
The Mexican,9.958406,57000000,5.8,54,0.614461177,0
The Time Traveler's Wife,13.682598,39000000,6.7,38,0.614737922,0
The Rite,7.128117,37000000,5.8,75,0.614774473,0
How High,6.796277,12000000,6.4,26,0.614834458,0
Johnson Family Vacation,3.223039,12000000,4.8,6,0.615131935,0
Hillary's America: The Secret History of the Democratic Party,1.628629,5000000,6.6,4,0.615384615,0
Storks,12.687521,70000000,6.7,65,0.616184466,0
"See No Evil, Hear No Evil",17.367336,18000000,6.4,27,0.61627822,0
13 Going on 30,12.632595,37000000,6.3,65,0.616404203,0
Anger Management,9.409379,75000000,5.9,42,0.616850062,0
Underworld: Rise of the Lycans,11.654958,35000000,6.2,29,0.616872921,0
"Big Mommas: Like Father, Like Son",7.564777,32000000,5.3,5,0.617295443,0
The Client,15.263829,45000000,6.4,80,0.617396427,0
Jumper,11.03897,85000000,5.9,15,0.617515428,0
Soul Surfer,11.009053,18000000,6.9,46,0.61774504,0
Ghost Rider: Spirit of Vengeance,9.421301,57000000,4.7,18,0.6180069,0
The Switch,5.695408,19000000,5.9,53,0.618708237,0
The Age of Adaline,10.542026,25000000,7.4,55,0.619269681,0
Halloween II,7.490807,15000000,5.1,23,0.619496656,0
Creepshow,10.434018,8000000,6.7,65,0.619568538,0
Days of Thunder,7.046753,60000000,5.9,38,0.620062554,0
Old Dogs,9.52295,35000000,5.2,5,0.620469943,0
Gone in Sixty Seconds,14.091765,90000000,6.1,25,0.620577033,0
Baggage Claim,5.590678,8500000,5.6,15,0.621490589,0
Ringmaster,0.556435,3500000,3.8,21,0.621534922,0
Perfume: The Story of a Murderer,10.297304,50000000,7.1,59,0.621728871,0
August Rush,8.874048,25000000,7.2,37,0.621911162,0
Footloose,6.162257,24000000,6.4,52,0.622304957,0
Billy Madison,6.638116,10000000,6.2,41,0.622481014,0
The Jackal,11.131917,60000000,6.1,24,0.623423746,0
The Santa Clause 2,5.205729,65000000,5.5,56,0.623962422,0
Harold & Kumar Go to White Castle,8.344105,9000000,6.6,74,0.624011589,0
Transporter 2,11.359659,32000000,6.2,52,0.624270434,0
Valkyrie,8.635464,75000000,6.7,62,0.625516787,0
All About Steve,9.288013,15000000,4.7,6,0.625986852,0
Public Enemies,10.364794,80000000,6.5,68,0.626350893,0
Sherlock Holmes: A Game of Shadows,18.695329,125000000,7,59,0.626436352,0
"Moscow, Belgium",1.572904,560000,6.4,93,0.626666667,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,12.383398,155000000,6.2,50,0.62712259,0
Red Dragon,2.968157,78000000,7.2,69,0.627144454,0
Fences,11.599716,24000000,6.7,92,0.627414592,0
The Faculty,13.462253,15000000,6.2,55,0.627637453,0
A League of Their Own,10.852038,40000000,6.8,81,0.627764263,0
Just Go with It,9.267959,80000000,6.3,19,0.627765713,0
Project Almanac,9.363482,12000000,6.4,38,0.627886681,0
War Horse,8.166363,66000000,7,75,0.628346736,0
Miss Peregrine's Home for Peculiar Children,36.262655,110000000,6.5,64,0.628987189,0
Jack Reacher: Never Go Back,15.60562,60000000,5.3,38,0.629963293,0
Nim's Island,7.558125,37000000,5.6,52,0.63028225,0
The Wedding Planner,8.056016,35000000,5.4,17,0.630523134,0
Confessions of a Shopaholic,8.198789,40000000,6.1,27,0.630767219,0
Death Becomes Her,11.017417,55000000,6.3,55,0.630928587,0
The Perfect Storm,18.911961,120000000,6.2,46,0.631626845,0
Real Steel,19.265552,110000000,6.6,60,0.632437102,0
The Darkness,12.187189,4000000,4.5,100,0.632970044,0
Poltergeist,15.968492,35000000,5,29,0.633269744,0
C.H.U.D.,4.412794,1250000,5.3,29,0.633699312,0
Home,13.422713,135000000,6.8,38,0.634018404,0
Dan in Real Life,8.936547,25000000,6.5,65,0.634384575,0
Clash of the Titans,7.50381,15000000,6.8,63,0.634968357,0
Daddy Day Care,6.504927,60000000,5.6,27,0.635111665,0
The Spectacular Now,8.098964,2500000,6.8,91,0.635282002,0
Carrie,18.399055,30000000,5.8,93,0.63589709,0
The Crazies,10.914556,20000000,6.2,71,0.636073421,0
Child's Play 2,14.310479,13000000,5.8,40,0.636501969,0
Night at the Museum: Secret of the Tomb,19.539436,127000000,6.1,47,0.636545007,0
Barbershop: The Next Cut,8.468401,20000000,6.2,90,0.636562212,0
Night at the Museum: Battle of the Smithsonian,15.417181,150000000,5.9,44,0.636897217,0
Urban Legends: Final Cut,12.243528,14000000,4.4,9,0.637064639,0
The Scorpion King,9.488117,60000000,5.3,41,0.637096438,0
The Great Mouse Detective,11.183924,14000000,6.9,76,0.637545614,0
Plus one,0.562568,336029,4,88,0.637617454,0
The Dictator,7.446085,65000000,5.9,56,0.637639819,0
The Mummy: Tomb of the Dragon Emperor,14.250227,145000000,5.2,13,0.638519951,0
Date Night,8.443736,55000000,5.9,66,0.638784983,0
Serendipity,5.715737,28000000,6.6,83,0.638785668,0
Pixels,21.14796,88000000,5.6,18,0.638807048,0
Fright Night,7.472509,9000000,6.9,72,0.638876719,0
A Nightmare on Elm Street 5: The Dream Child,7.534739,8000000,5.5,30,0.639125296,0
Men in Black 3,10.684385,225000000,6.3,67,0.639438549,0
"Legally Blonde 2: Red, White & Blonde",7.288046,45000000,5.2,36,0.639754578,0
Logan's Run,6.842274,9000000,6.6,62,0.64,0
Life As We Know It,7.824962,38000000,6.6,30,0.640186011,0
The Tourist,12.845045,100000000,6,21,0.641231626,0
Demolition Man,11.626116,57000000,6.4,62,0.641635128,0
Get Hard,8.178015,40000000,5.9,28,0.642254895,0
Beowulf,9.951195,70000000,5.5,71,0.642375218,0
Friday the 13th Part VIII: Jason Takes Manhattan,7.743144,5000000,4.8,11,0.642857143,0
License to Drive,9.631158,8000000,6.1,24,0.643386888,0
How the Grinch Stole Christmas,11.642462,123000000,6.2,100,0.643624326,0
TMNT,11.358363,34000000,6,35,0.644384924,0
The Newton Boys,2.917013,27000000,5.9,65,0.644736842,0
Maid in Manhattan,7.291939,55000000,5.6,38,0.644947556,0
The House Bunny,9.920106,25000000,5.6,43,0.645102831,0
Meet the Spartans,6.416753,30000000,3.8,2,0.645586259,0
Drive Me Crazy,4.606395,8000000,5.8,27,0.645914435,0
Penguins of Madagascar,22.201607,132000000,6.5,74,0.646635631,0
Paul Blart: Mall Cop 2,17.02038,38000000,5,6,0.646831096,0
Out for Justice,6.892056,14000000,5.9,23,0.647116599,0
Starsky & Hutch,10.776138,60000000,5.6,63,0.647615901,0
The Sum of All Fears,9.268136,68000000,5.9,59,0.647668394,0
John Q,8.867562,36000000,7,25,0.647903751,0
The Counselor,14.723646,25000000,5,34,0.647933608,0
Street Fighter,13.58449,35000000,4.1,11,0.647970625,0
Troy,15.387275,175000000,6.9,53,0.648177455,0
Heartbreak Ridge,7.390012,15000000,6.5,68,0.648909418,0
My Beautiful Laundrette,2.793003,860000,6.6,98,0.64920081,0
Dracula,7.503126,355000,7.2,59,0.649274987,0
Rocky V,14.007329,42000000,5.3,31,0.649843474,0
"Crazy, Stupid, Love.",10.246173,50000000,7,79,0.649985432,0
Eyes of Laura Mars,3.705714,7000000,5.7,55,0.65,0
G.I. Joe: Retaliation,10.560608,130000000,5.4,28,0.650421369,0
Antz,16.025625,60000000,6,92,0.650671015,0
Prem Ratan Dhan Payo,2.864948,23400000,5.6,45,0.650746269,0
The Men Who Stare at Goats,6.253084,24000000,5.9,51,0.650804246,0
The Shack,16.392712,20000000,6.9,21,0.65114782,0
Blade II,17.05064,54000000,6.3,57,0.65163545,0
Charlie's Angels,9.774985,92000000,5.6,68,0.651654417,0
The Lake House,12.589019,40000000,6.5,35,0.651659311,0
Resident Evil: Apocalypse,7.850797,45000000,6.1,19,0.652227231,0
Vertical Limit,6.548229,75000000,5.9,48,0.652236585,0
Swimming Pool,14.481103,7800000,6.5,83,0.652426909,0
History of the World: Part I,9.270492,11000000,6.5,61,0.652700019,0
Drumline,5.270187,20000000,6.2,82,0.65270835,0
Sex and the City 2,7.255991,100000000,5.5,15,0.653196461,0
Big Eyes,7.412826,10000000,6.8,72,0.653781703,0
I Am Number Four,9.388376,50000000,5.9,33,0.653962069,0
The 5th Wave,10.788263,38000000,5.6,17,0.654251166,0
Battle: Los Angeles,6.753746,70000000,5.5,37,0.654264229,0
"I, Robot",14.43075,120000000,6.7,56,0.654412634,0
Action Jackson,14.054862,7000000,4.9,13,0.654440014,0
Halloween: Resurrection,8.502529,13000000,4.5,10,0.654850656,0
Sliver,11.23297,40000000,4.9,15,0.656061909,0
Brave,15.876341,185000000,6.7,79,0.656761106,0
The Day the Earth Stood Still,9.265322,80000000,5.2,95,0.656790615,0
Godzilla,11.295121,130000000,5.3,76,0.657005021,0
Hop,8.904488,63000000,5.5,24,0.657522561,0
Think Like a Man Too,7.576924,24000000,6.3,23,0.658029187,0
"Me, Myself & Irene",9.95456,51000000,6.1,48,0.658339528,0
Quantum of Solace,13.67812,200000000,6.1,64,0.658755905,0
Inferno,18.311054,75000000,5.7,45,0.659123849,0
Cocktail,7.950488,6400000,6.2,9,0.659574468,0
Passenger 57,18.451321,15000000,5.6,24,0.659598826,0
A Low Down Dirty Shame,3.021526,10000000,6,4,0.659776205,0
Mad Max Beyond Thunderdome,12.689648,12305523,5.9,81,0.660351956,0
Twilight Zone: The Movie,5.836054,10000000,6.2,59,0.660452022,0
Hustle & Flow,7.422267,8000000,6.9,82,0.660495133,0
How to Be Single,8.898988,38000000,5.9,46,0.66175172,0
Arbitrage,5.808496,12000000,6.1,87,0.661829475,0
August: Osage County,6.954296,25000000,6.9,67,0.663022534,0
Jason's Lyric,0.912909,7000000,5.9,58,0.664293075,0
Bad Day at Black Rock,7.441117,1271000,7,97,0.664466737,0
Harsh Times,7.659357,2000000,6.3,48,0.664825329,0
Con Air,11.545982,75000000,6.5,58,0.665196857,0
Cop Land,9.15931,15000000,6.6,75,0.665642694,0
Vanilla Sky,10.071057,68000000,6.5,43,0.665664218,0
Vishwaroopam,1.542355,17000000,5.5,100,0.666666667,0
Rambo III,11.624866,63000000,5.7,41,0.666694197,0
Atomic Blonde,14.455104,30000000,6.1,79,0.66669609,0
Single White Female,7.246119,16000000,6,53,0.66678747,0
Water for Elephants,7.649466,38000000,6.7,60,0.667122854,0
Eight Below,13.876881,40000000,6.7,73,0.667928522,0
Stay Alive,4.854551,9000000,5.3,10,0.667959105,0
Planes: Fire & Rescue,7.579855,50000000,5.8,45,0.669237326,0
Halloween: The Curse of Michael Myers,8.768288,5000000,5,9,0.669238536,0
Immortals,10.363671,75000000,5.7,49,0.669463763,0
Drag Me to Hell,15.809588,30000000,6.2,92,0.669643152,0
A Bug's Life,16.869209,120000000,6.8,92,0.669657059,0
Tomorrow Never Dies,17.159576,110000000,6,57,0.669680649,0
Shaft,3.73688,4000000,6.5,34,0.67001105,0
The Last Exorcism Part II,5.874458,5000000,4.4,15,0.67060409,0
Magic in the Moonlight,6.626077,16800000,6.5,51,0.67077777,0
Congo,7.260574,50000000,5,20,0.671100454,0
Anaconda,14.386089,45000000,4.8,40,0.671258736,0
Darkman,8.899418,16000000,6.2,84,0.672657726,0
White Chicks,7.723341,37000000,6.3,15,0.672816754,0
Seven Pounds,21.708267,55000000,7.5,27,0.672945501,0
Are We There Yet?,9.756822,32000000,5.2,12,0.673198152,0
Kong: Skull Island,29.429112,185000000,6.2,75,0.67352143,0
Dogma,8.559088,10000000,6.8,67,0.673766487,0
300: Rise of an Empire,12.904677,110000000,6.1,45,0.674151362,0
Face/Off,11.467391,80000000,6.8,92,0.67436806,0
Sudden Impact,9.737907,22000000,6.5,57,0.674761618,0
Need for Speed,18.271383,66000000,6.1,22,0.6753209,0
Son of God,6.477292,22000000,5.9,20,0.67551653,0
Die Another Day,12.996474,140000000,5.8,55,0.675904257,0
Grown Ups 2,9.411725,80000000,5.8,8,0.676092743,0
Tales from Earthsea,9.409701,22000000,6.5,40,0.676470588,0
Raising Cain,8.816951,12000000,5.9,61,0.677159494,0
The Foot Fist Way,2.066141,79000,6,54,0.67755102,0
Badlapur,1.493061,3700000,6.8,92,0.677700348,0
Why Him?,14.531429,38000000,6.3,39,0.678059609,0
Little Fockers,9.73941,100000000,5.5,9,0.678094925,0
Knowing,9.806904,50000000,5.9,34,0.678345641,0
2 Fast 2 Furious,2.32462,76000000,6.2,36,0.678443886,0
The Horse Whisperer,7.685548,60000000,6.7,74,0.678944477,0
Land of the Dead,9.478117,15000000,6,74,0.679285719,0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,7.994266,25000000,5.8,35,0.679487179,0
Ride Along 2,9.420931,40000000,6.1,14,0.679557317,0
Resident Evil,7.781293,33000000,6.4,35,0.679564556,0
The Prince of Egypt,11.898185,70000000,6.9,79,0.679799738,0
Once Bitten,6.174699,3200000,5.3,10,0.68,0
A Mighty Wind,4.672036,6000000,6.6,87,0.680004198,0
Racing Stripes,4.817052,30000000,5.1,35,0.680076857,0
The Object of My Affection,6.715856,15000000,5.6,53,0.68021073,0
Space Jam,11.054251,80000000,6.5,43,0.680255795,0
The Lost World: Jurassic Park,0.788123,73000000,6.2,54,0.681326414,0
Scary Movie 2,10.869056,45000000,5.4,14,0.681349781,0
Wishmaster,5.215107,5000000,5.6,25,0.681915813,0
The Wedding Date,5.615303,15000000,6.2,11,0.682035232,0
Party Girl,1.165039,150000,5.8,83,0.682452315,0
Spy Kids 2: The Island of Lost Dreams,7.164131,38000000,5.3,75,0.682601619,0
Sex Tape,27.470696,40000000,5.2,16,0.682714716,0
Men in Black II,16.775716,140000000,6.1,38,0.683128018,0
Daddy's Little Girls,6.063809,10000000,6.6,26,0.68363684,0
Freddy's Dead: The Final Nightmare,11.560358,11000000,5.1,23,0.684560978,0
The Mist,8.435642,18000000,6.7,72,0.684742537,0
The Doctor,8.337242,12000000,6.6,83,0.68521209,0
The Hangover Part II,21.893532,80000000,6.2,34,0.685603781,0
Cloudy with a Chance of Meatballs 2,14.412061,78000000,6.4,71,0.685970896,0
Scenes from a Mall,1.739182,3000000,4.8,32,0.686303805,0
Ted 2,42.061481,68000000,6.2,44,0.68666856,0
The Golden Child,8.236472,25000000,5.6,22,0.686787202,0
Employee of the Month,8.596352,12000000,5.4,11,0.687246776,0
Pearl Harbor,11.419388,140000000,6.6,24,0.688349349,0
The Lawnmower Man,6.685948,10000000,5.4,37,0.688483225,0
Entrapment,10.62333,66000000,6,40,0.689271968,0
Yes Man,9.756289,70000000,6.4,46,0.690253122,0
The Ring Two,16.15818,50000000,5.5,20,0.690309547,0
Bring It On,6.402888,28000000,5.8,64,0.690436462,0
Sunshine Cleaning,9.098119,5000000,6.5,75,0.690869083,0
Jimmy Neutron: Boy Genius,7.308162,25000000,5.6,74,0.691114852,0
Julie & Julia,8.142089,40000000,6.6,78,0.691216258,0
Species,13.492845,35000000,5.5,42,0.691287524,0
The Bank Job,8.732701,20000000,6.6,80,0.691466564,0
Wolf Totem,6.542647,38000000,6.4,67,0.691572521,0
That Awkward Moment,8.060403,8000000,6.1,22,0.69288745,0
Due Date,11.73956,65000000,6.2,40,0.693078916,0
The Mummy,33.704935,125000000,5.4,89,0.693460667,0
The Lizzie McGuire Movie,6.730857,17000000,5.8,40,0.693883734,0
Under the Tuscan Sun,8.508008,18000000,6.4,62,0.694286848,0
The American,7.275649,20000000,5.8,65,0.694490086,0
Street Kings,13.246795,20000000,6.3,36,0.694981852,0
Scooby-Doo,8.592826,84000000,5.4,32,0.695266513,0
Smurfs: The Lost Village,16.972835,60000000,6.2,40,0.695714976,0
Tsotsi,6.081201,3000000,6.9,82,0.696355384,0
True Lies,11.396099,115000000,6.8,70,0.696475749,0
Ocean's Twelve,11.869347,110000000,6.4,55,0.696756073,0
Notes on a Scandal,8.593087,15000000,6.9,88,0.696785342,0
Resident Evil: Extinction,3.009134,45000000,6.1,24,0.69679015,0
The Constant Gardener,11.556484,25000000,6.9,83,0.696847223,0
A Nightmare on Elm Street,10.40191,35000000,5.5,95,0.69739946,0
Godzilla,14.019239,160000000,6.1,93,0.69758602,0
No Reservations,9.672317,28000000,6.1,42,0.697627619,0
Unbreakable,14.67855,75000000,6.9,70,0.697724617,0
The Smurfs 2,10.640864,105000000,5.5,14,0.697784482,0
Shocker,5.587765,5000000,5.5,26,0.697970951,0
Rings,24.535733,25000000,4.8,8,0.699088443,0
Bad Santa,10.930143,23000000,6.4,78,0.699302731,0
How the West Was Won,7.281721,15000000,6.6,87,0.7,0
Dragnet,7.907938,20000000,5.7,43,0.700030819,0
Something's Gotta Give,8.524847,80000000,6.3,72,0.700069814,0
Elephant,6.447312,3000000,7,74,0.700360227,0
The Babadook,8.832788,2000000,6.5,98,0.700440547,0
Warm Bodies,10.430238,35000000,6.4,81,0.700805249,0
Horrible Bosses,9.856955,35000000,6.4,69,0.700854701,0
The Great Gatsby,17.598936,105000000,7.3,39,0.700889145,0
The Rugrats Movie,5.154373,30000000,5.8,59,0.701467832,0
The History Boys,3.403583,4000000,6.6,65,0.701536015,0
Dennis the Menace,10.378902,35000000,5.5,27,0.701545394,0
Devil,7.094276,10000000,5.8,49,0.702231847,0
Smokin' Aces,7.906434,17000000,6.4,30,0.702297015,0
Final Destination 5,12.912491,47000000,5.9,62,0.702319959,0
Boogeyman,9.704289,20000000,4.6,13,0.702349323,0
Wild Things,13.924623,20000000,6.3,63,0.702380952,0
Batman Forever,13.321354,100000000,5.2,39,0.702848916,0
Vacation,11.33038,31000000,6.1,27,0.703020155,0
The Outsiders,6.435926,10000000,6.9,70,0.703243375,0
Never Been Kissed,7.257679,25000000,5.8,55,0.704370224,0
Going in Style,15.157255,25000000,6.6,47,0.704556475,0
Once Upon a Time in Mexico,8.843365,29000000,6.2,66,0.704640952,0
Grown Ups,23.981251,80000000,6,11,0.705264914,0
Absence of Malice,3.21594,12000000,6.8,81,0.705282538,0
A Passage to India,11.842837,8000000,6.8,78,0.705748782,0
Duel in the Sun,8.441279,6000000,6.2,76,0.705882353,0
Shall We Dance?,9.082538,50000000,5.9,91,0.706104434,0
Hoodwinked!,6.398984,15000000,6,46,0.706192216,0
Quarantine,6.140116,12000000,5.6,55,0.706281314,0
Mr. Popper's Penguins,15.214342,55000000,5.7,47,0.706450229,0
Eat Pray Love,15.904834,60000000,5.8,36,0.706736291,0
Mr. Deeds,6.674356,50000000,5.6,22,0.708062499,0
Love & Other Drugs,7.575696,30000000,6.6,49,0.708227994,0
Harper,8.55931,3500000,6.3,100,0.708333333,0
London Has Fallen,15.037993,60000000,5.8,27,0.708390264,0
Happy Gilmore,9.592265,12000000,6.5,61,0.708773907,0
Young Guns,9.905174,13000000,6.6,42,0.709345508,0
Nell,5.930957,31000000,6.1,57,0.70942172,0
Chennai Express,4.19356,18000000,6.5,50,0.709677419,0
Pain & Gain,9.218002,25000000,6.1,50,0.70989364,0
Diary of a Wimpy Kid: Rodrick Rules,8.425361,21000000,6.3,47,0.71001442,0
Big Momma's House 2,7.622875,40000000,5.4,5,0.710688042,0
Jason Bourne,19.133256,120000000,5.9,54,0.711180849,0
The Secret Life of Bees,6.390463,11000000,7.4,59,0.711326966,0
The Wedding Ringer,12.21459,23000000,6.5,29,0.711779015,0
Scanners,10.574039,4100000,6.5,70,0.711792792,0
Anchorman 2: The Legend Continues,7.600751,50000000,6,75,0.712062864,0
National Treasure,18.932203,100000000,6.4,46,0.712190373,0
Robots,12.949715,75000000,6,64,0.712309686,0
Final Destination 2,12.638573,26000000,5.9,48,0.712473364,0
Casino Royale,13.300519,12000000,5.3,94,0.712538482,0
An Education,8.593196,7500000,6.9,93,0.712609015,0
Point Break,11.453093,24000000,6.9,71,0.712684815,0
Clear and Present Danger,7.513245,62000000,6.4,80,0.712813675,0
Anchorman: The Legend of Ron Burgundy,10.33012,26000000,6.7,66,0.7129425,0
Earth to Echo,12.412221,13000000,5.7,50,0.713024283,0
Live Free or Die Hard,14.886039,110000000,6.4,82,0.713191719,0
Batman v Superman: Dawn of Justice,31.435879,250000000,5.7,29,0.713716483,0
The Equalizer,17.618057,55000000,7.1,60,0.714034269,0
The Amazing Spider-Man,31.102267,215000000,6.5,71,0.714177788,0
Wild,11.209154,15000000,7,88,0.7142941,0
Diary of a Wimpy Kid: Dog Days,10.225555,22000000,6,52,0.714701346,0
Forgetting Sarah Marshall,15.106676,30000000,6.4,83,0.714756,0
The Hangover Part III,25.085639,103000000,6,20,0.71546967,0
National Treasure: Book of Secrets,12.854373,130000000,6.1,36,0.715761983,0
The Accountant,13.465656,44000000,6.9,52,0.71642184,0
Shallow Hal,12.520688,40000000,5.7,50,0.716452543,0
Superman II,10.301621,54000000,6.5,83,0.716473974,0
About Schmidt,11.066473,30000000,6.7,86,0.716538708,0
Big Fat Liar,4.643981,15000000,5.6,45,0.716820917,0
Gothika,10.939066,40000000,5.8,14,0.717496815,0
How to Lose a Guy in 10 Days,5.188107,50000000,6.3,42,0.71810569,0
Anacondas: The Hunt for the Blood Orchid,10.749404,20000000,4.9,25,0.718281679,0
Halloween 4: The Return of Michael Myers,6.199806,5000000,5.9,33,0.718607216,0
Johnny English Reborn,10.668658,45000000,6,38,0.718888072,0
Stargate,13.328924,55000000,6.8,52,0.720197558,0
Soul Kitchen,4.79386,5000000,7,73,0.720245226,0
Crank,12.627593,12000000,6.6,62,0.72048197,0
Star Trek VI: The Undiscovered Country,5.90057,27000000,6.7,82,0.721362229,0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",7.861004,28000000,6.1,62,0.721819714,0
Monster-in-Law,6.328385,43000000,5.6,18,0.722132324,0
The Beach,14.430311,40000000,6.3,21,0.722331888,0
The Bye Bye Man,19.225832,7400000,5.1,18,0.722505519,0
City of Angels,8.228219,55000000,6.5,58,0.723180067,0
Sanctum,7.000775,30000000,5.8,30,0.723780586,0
Planet of the Apes,17.319836,100000000,5.6,44,0.723918391,0
Killer of Sheep,2.777856,100000,6.5,98,0.723926211,0
Harold & Kumar Escape from Guantanamo Bay,13.065315,12000000,6.2,52,0.724094313,0
New in Town,12.357072,8000000,5.2,28,0.724240789,0
Transporter 3,9.296824,30000000,5.9,40,0.724718993,0
A Soldier's Story,12.019262,6000000,6.2,92,0.725039889,0
Jack Reacher,12.789812,60000000,6.3,63,0.725199979,0
Romeo Must Die,8.369176,25000000,6,32,0.725385657,0
Cliffhanger,9.830853,70000000,6.1,67,0.725490423,0
Sixteen Candles,6.683723,6500000,6.9,81,0.725576603,0
Music and Lyrics,7.196688,40000000,6.2,63,0.725832893,0
Dawn of the Dead,13.157873,28000000,6.8,93,0.726445975,0
Ocean's Thirteen,12.16276,85000000,6.5,70,0.726962566,0
Nick and Norah's Infinite Playlist,12.992176,9000000,6.4,75,0.72705716,0
Without a Paddle,6.046516,19000000,5.3,14,0.727133492,0
The Muppets,10.214369,45000000,6.5,95,0.727576912,0
Why Did I Get Married?,2.016044,15000000,6.1,48,0.728185633,0
Working Girl,8.318954,28000000,6.5,83,0.728612838,0
A Cinderella Story,8.385361,19000000,6.1,12,0.728834494,0
The Cider House Rules,9.526781,24000000,6.9,71,0.728951662,0
The Heat,12.706403,43000000,6.5,66,0.729004429,0
Resident Evil: Retribution,0.948759,65000000,5.6,28,0.729346262,0
Everest,10.758754,55000000,6.7,73,0.729633519,0
Grand Hotel,11.118844,700000,6.5,86,0.730146492,0
X2,0.913096,110000000,6.8,85,0.730201413,0
Air Force One,12.173291,85000000,6.2,78,0.73029265,0
Oliver!,8.630078,10000000,7,90,0.732640887,0
A Walk to Remember,8.054499,11000000,7.5,27,0.73318501,0
Pineapple Express,8.461369,27000000,6.6,68,0.734316933,0
Timecop,8.907074,27000000,5.5,42,0.734373751,0
22 Jump Street,10.901496,50000000,7,84,0.734665826,0
Hang 'em High,7.266576,1800000,6.7,92,0.735294118,0
Vantage Point,7.001645,40000000,6.3,34,0.73538234,0
The Rookie,10.991137,20000000,6.5,29,0.735439384,0
The Specialist,10.388183,45000000,5.5,10,0.73585749,0
1408,9.196884,25000000,6.5,79,0.735951562,0
The Color of Money,11.613655,13800000,6.7,88,0.736107302,0
The Lost Boys,9.099731,8500000,6.8,76,0.736209719,0
Outbreak,13.676444,50000000,6.4,59,0.736647446,0
Get Shorty,12.669608,30250000,6.4,88,0.73718876,0
Hope Springs,7.255301,30000000,5.8,75,0.737489289,0
Teenage Mutant Ninja Turtles,22.337973,125000000,5.8,41,0.738055323,0
Hardware,6.026159,1500000,5.6,46,0.738172053,0
Bride Wars,8.33501,30000000,5.9,11,0.738364779,0
